"","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"k__Bacteria_p__Proteobacteria_c__Deltaproteobacteria_o__Desulfovibrionales_f__Desulfovibrionaceae_g__","no_IgA",1853.45684185205,2.65007175512056,0.266443660092078,9.94608674195795,2.62295286136556e-23,2.19016563924024e-21
"g__Bilophila","no_IgA",444.428257045648,-1.82330988632907,0.264657883666969,-6.88930879770588,5.60641220994485e-12,1.33752977008684e-10
"g__Desulfovibrio","no_IgA",366.313983564255,-0.164644755651631,0.189085683083518,-0.870741522925924,0.383895300909949,0.794458530798602
"k__Bacteria_p__Proteobacteria_c__Epsilonproteobacteria_o__Campylobacterales_f__Helicobacteraceae_g__","no_IgA",544.615400846519,-3.22048959988452,0.287510911802885,-11.2012778217352,4.01894261175941e-29,6.71163416163822e-27
"g__Flexispira","no_IgA",52.1000749238294,0.206842694275408,0.26754526450221,0.77311289609351,0.439455569597026,0.85336139677562
"g__Helicobacter","no_IgA",834.610672584826,1.22155548426905,0.235467385431232,5.18779058098391,2.12803714549384e-07,2.22113877060919e-06
"k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__","no_IgA",209.291520130408,1.05594152968227,0.184425462570022,5.72557343746042,1.03084940564381e-08,1.32424500571167e-07
"g__Aquamonas","no_IgA",2.21569702952674,0.75129596550324,0.18757173255925,4.00537946337902,6.19180018351645e-05,0.000452555517843406
"g__Enterobacter","no_IgA",5.70163599252371,0.321150264517874,0.0833073853607038,3.85500352852703,0.000115727959997315,0.000690234618555417
"g__Erwinia","no_IgA",13.4787631963867,0.00633260045874615,0.044491078631072,0.142334163468079,0.886816062678212,0.998644113602911
"g__Klebsiella","no_IgA",13.7774192424556,-1.0107054594511,0.151904478750203,-6.65355931416043,2.86088441255254e-11,5.30852996551415e-10
"g__Morganella","no_IgA",1.03475158221869,-0.0551238496532431,0.160122152765721,-0.344261232447308,0.730649836411565,0.998644113602911
"g__Pantoea","no_IgA",2.04549911339777,0.00264973157522891,0.112983958527131,0.0234522812775463,0.981289502027357,0.998644113602911
"g__Plesiomonas","no_IgA",3.05377982206648,0.0350695573348846,0.0921204075058507,0.380692598788789,0.703431361387418,0.998644113602911
"g__Proteus","no_IgA",3.99420189328159,-0.510408727242489,0.1136687241658,-4.49031807991435,7.11168924726709e-06,6.98618884878591e-05
"g__Raoultella","no_IgA",2.21330079432036,0.740491548082996,0.191493282944569,3.86693223227754,0.000110213038230488,0.000690234618555417
"g__Salmonella","no_IgA",3.34196329684117,0.15328762857911,0.158129158020443,0.96938243710431,0.332354411827282,0.720820607469561
"g__Serratia","no_IgA",14.7925447772137,0.166700440621021,0.0612190815541576,2.72301439990649,0.00646892381697919,0.0257216732722744
"g__Sodalis","no_IgA",2.02140942765644,-0.00917474142711803,0.113840013088611,-0.0805932920964844,0.935765400984295,0.998644113602911
"g__Trabulsiella","no_IgA",3.03694231041352,-0.0122842277360245,0.0930660352474948,-0.131994746562013,0.894988447028376,0.998644113602911
"k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Legionellales_f__Legionellaceae_g__","no_IgA",1.05164375212999,-0.0864413143088451,0.160399759712863,-0.538911744404022,0.589947753084461,0.987422221485336
"g__Legionella","no_IgA",2.0165899414927,-0.00449814385251536,0.113887705078646,-0.03949630778326,0.968494697183816,0.998644113602911
"k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Oceanospirillales_f__Endozoicimonaceae_g__","no_IgA",3.03452575436926,0.0185654094873779,0.0926409459381738,0.20040176942675,0.841166375756241,0.998644113602911
"k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__","no_IgA",1.04683360448352,0.0589107399394158,0.156245720496047,0.377039062269269,0.706144575957639,0.998644113602911
"g__Aggregatibacter","no_IgA",3.18376574612539,0.0648083796062909,0.0899812291015704,0.720243324673144,0.471375193067933,0.894541559572101
"k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Moraxellaceae_g__","no_IgA",2.01658467176104,0.0131325770160872,0.113568049135261,0.115636194476196,0.907940876270538,0.998644113602911
"g__Acinetobacter","no_IgA",9.29102223005965,0.00729431099516359,0.0534829267217742,0.136385785937064,0.891516309858689,0.998644113602911
"k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Pseudomonadaceae_g__","no_IgA",8.46560303445863,0.357950826026929,0.147795089779998,2.42193990720368,0.0154379031867083,0.0548538262166018
"g__Pseudomonas","no_IgA",23.7489840112998,-0.107257611913319,0.0547601539206512,-1.95867988371138,0.0501502877259572,0.15227451000427
"k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Xanthomonadales_f__Xanthomonadaceae_g__","no_IgA",3.236580586344,-0.0787263329155899,0.0920214410340171,-0.855521626600996,0.392262437056479,0.798875938883317
